Start	Stop	Strand	Number of Genes	Genes
1206520	1209657	+	3	mca, Rv1083, Rv1084
1225263	1228684	-	3	Rv1097c, fum, glpX
1230660	1231291	-	2	mazF3, mazE3
1232844	1236095	-	4	Rv1106c, xseB, xseA, Rv1109c
1239416	1239984	+	2	vapB32, vapC32
1241971	1243504	-	3	Rv1118c, Rv1119c, Rv1120c
1243707	1246151	+	2	zwf1, gnd2
1247127	1249326	+	2	ephC, Rv1125
1249330	1251404	-	2	Rv1126c, ppdK
1254555	1259055	+	3	prpD, prpC, Rv1132
1265472	1266985	-	2	Rv1138c, Rv1139c
1270062	1271908	+	2	mcr, Rv1144
1272423	1274767	+	2	Rv1145, Rv1146
1279998	1281484	-	2	omt, Rv1154c
1282030	1282893	+	2	Rv1155a, Rv1156
1283056	1284862	-	2	Rv1157c, Rv1158c
1287328	1296054	+	5	narG, narH, narJ, narI, typA
1298764	1300124	-	2	PPE17, lipX
1306202	1308792	-	2	fadH, Rv1176c
1309005	1310452	+	2	fdxC, Rv1178
1313725	1319982	+	2	pks3, pks4
1320035	1324528	+	2	papA3, mmpL10
1329390	1332010	+	2	rocA, Rv1188
1332092	1333858	+	2	sigI, Rv1190
1333931	1337215	+	3	Rv1191, Rv1192, fadD36
1339003	1340524	+	2	PE13, PPE18
1346321	1348624	-	2	Rv1203c, Rv1204c
1348719	1351125	+	2	Rv1205, fadD6
1351191	1354136	+	4	folP2, gpgS, Rv1209, tagA
1357759	1363361	-	5	Rv1215c, Rv1216c, Rv1217c, Rv1218c, Rv1219c
1365875	1367858	+	2	htrA, tatB
1368832	1370825	-	2	Rv1226c, Rv1227c
1370920	1371702	+	2	lpqX, Rv1228a
1371777	1374197	-	2	mrp, Rv1230c
1374322	1376826	-	3	Rv1231c, Rv1232c, Rv1233c
1376976	1381865	+	5	Rv1234, lpqY, sugA, sugB, sugC
1383213	1384966	+	3	mdh, vapB33, vapC33
1387798	1389244	-	3	Rv1245c, relE, relB
1399970	1402809	+	2	deaD, Rv1254
1402778	1404603	-	2	Rv1255c, cyp130
1404717	1407340	-	2	Rv1257c, Rv1258c
1407339	1409358	+	2	udgB, Rv1260
1409484	1410372	-	2	Rv1261c, Rv1262c
1420410	1424050	-	2	Rv1272c, Rv1273c
1424197	1425293	+	2	lprB, lprC
1426164	1431648	+	3	Rv1277, Rv1278, Rv1279
1431665	1437117	-	4	oppA, oppD, oppC, oppB
1437909	1440751	+	2	cysD, Rv1286
1440805	1442718	+	2	Rv1287, Rv1288
1446379	1451779	+	4	argS, lysA, thrA, thrC
1455495	1458211	+	3	prfA, hemK, Rv1301
1459766	1460996	+	2	Rv1303, atpB
1461045	1463183	+	3	atpE, atpF, atpH
1463228	1468131	+	5	atpA, atpG, atpD, atpC, Rv1312
1477134	1480824	-	3	ogt, alkA, Rv1318c
1480894	1484217	-	2	Rv1319c, Rv1320c
1484279	1485278	+	2	Rv1321, Rv1322
1490117	1494425	-	2	glgB, glgE
1497195	1500559	-	2	dinG, pncB1
1500661	1508187	+	11	Rv1331, Rv1332, Rv1333, mec, cysO, cysM, Rv1337, murI, Rv1339, rphA, Rv1341
1508184	1508923	-	2	Rv1342c, lprD
1508968	1512006	+	3	mbtL, mbtM, mbtN
1513047	1517362	+	2	irtA, irtB
1517491	1518560	+	2	fabG2, Rv1351
1519200	1524820	-	4	Rv1353c, Rv1354c, moeY, Rv1356c
1526612	1530925	+	2	Rv1358, Rv1359
1533948	1535392	-	2	Rv1362c, Rv1363c
1538390	1539440	+	2	Rv1366, Rv1366A
1543359	1546992	+	3	Rv1371, Rv1372, Rv1373
1547832	1550641	+	2	Rv1375, Rv1376
1550579	1552655	-	2	Rv1377c, Rv1378c
1552654	1561269	+	7	pyrR, pyrB, pyrC, Rv1382, carA, carB, pyrF
1561464	1563388	+	2	PE15, PPE20
1564401	1566697	+	3	gmk, rpoZ, dfp
1568109	1570969	-	2	Rv1393c, cyp132
1574112	1576796	-	4	vapC10, vapB10, nlhH, lipI
1576930	1579580	+	2	Rv1401, priA
1582166	1586213	+	4	fmt, fmu, rpe, ribG
1586210	1588482	-	2	Rv1410c, lprG
1589386	1590292	+	2	Rv1413, Rv1414
1590397	1593325	+	4	ribA2, ribH, Rv1417, lprH
1593505	1598883	+	5	Rv1419, uvrC, Rv1421, Rv1422, whiA
1601059	1604759	-	3	lipO, fadD12, Rv1428c
1608083	1611270	+	2	Rv1431, Rv1432
1611434	1612393	+	2	Rv1433, Rv1434
1613307	1616349	+	3	gap, pgk, tpi
1623287	1630199	-	6	Rv1444c, devB, opcA, zwf2, tal, tkt
1642537	1644260	-	2	Rv1457c, Rv1458c
1646186	1653578	+	7	Rv1460, Rv1461, Rv1462, Rv1463, csd, Rv1465, Rv1466
1658980	1662284	+	4	trxA, trxB1, echA12, Rv1473
1662641	1666046	-	2	Rv1474c, acn
1666990	1669144	+	2	ripA, Rv1478
1669283	1672384	+	3	moxR1, Rv1480, Rv1481
1673440	1676051	+	3	fabG1, inhA, hemZ
1676941	1679172	+	4	Rv1487, Rv1488, Rv1489, Rv1489A
1682157	1689230	+	6	mutA, mutB, mazE4, mazF4, Rv1496, lipL
1690407	1692711	+	3	Rv1499, Rv1500, Rv1501
1695281	1696443	-	2	Rv1505c, Rv1506c
1699866	1701093	+	2	Rv1508A, Rv1509
1703074	1705789	+	3	gmdA, epiA, Rv1513
1705807	1708539	-	3	Rv1514c, Rv1515c, Rv1516c
1708871	1710603	+	2	Rv1517, Rv1518
1710733	1712068	+	2	Rv1519, Rv1520
1717653	1719970	+	2	Rv1523, Rv1524
1720780	1728409	-	2	Rv1526c, pks5
1731373	1733039	+	2	adh, Rv1531
1733610	1735411	+	2	Rv1533, Rv1534
1742244	1743771	+	2	lspA, Rv1540
1743778	1744836	-	2	lprI, glbN
1745064	1747626	+	4	Rv1543, Rv1544, Rv1545, Rv1546
1753716	1757310	+	2	fadD11, plsB1
1757681	1760929	+	4	frdA, frdB, frdC, frdD
1761744	1765383	+	5	mmpL6, Rv1558, ilvA, vapB11, vapC11
1765400	1774620	-	5	treZ, treY, treX, Rv1565c, Rv1566c
1775392	1779048	+	4	bioA, bioF1, bioD, Rv1571
1779930	1780699	+	2	Rv1574, Rv1575
1780643	1782584	-	2	Rv1576c, Rv1577c
1782758	1784301	-	4	Rv1578c, Rv1579c, Rv1580c, Rv1581c
1784497	1789836	-	7	Rv1582c, Rv1583c, Rv1584c, Rv1585c, Rv1586c, Rv1587c, Rv1588c
1790284	1792235	+	3	bioB, Rv1590, Rv1591
1794756	1799052	+	4	nadA, nadB, nadC, Rv1597
1799583	1806000	+	8	hisD, hisC1, hisB, hisH, hisA, impA, hisF, hisI
1807903	1811058	+	3	trpE, Rv1610, trpC
1811127	1814577	+	3	trpB, trpA, lgt
1815253	1816081	+	2	Rv1615, Rv1616
1816189	1820029	+	3	pykA, tesB1, Rv1619
1819963	1825887	-	4	cydC, cydD, cydB, cydA
1825998	1827945	-	2	Rv1624c, cya
1828865	1830561	-	2	Rv1627c, Rv1628c
1833542	1836236	+	2	rpsA, coaE
1837075	1840583	+	2	uvrB, Rv1634
1846716	1848458	-	2	Rv1638A, Rv1639c
1852273	1854388	+	4	infC, rpmI, rplT, tsnR
1855764	1858537	+	3	PE17, Rv1647, Rv1648
1858733	1862253	+	2	pheS, pheT
1865576	1872559	+	7	argC, argJ, argB, argD, argF, argR, argG
1875304	1891079	+	4	pks7, pks8, pks17, pks9
1895725	1896867	+	3	Rv1669, Rv1670, Rv1671
1898300	1899916	-	2	Rv1673c, Rv1674c
1901047	1902296	+	2	Rv1676, dsbF
1902397	1906242	+	4	Rv1678, fadE16, Rv1680, moeX
1907594	1910810	+	2	Rv1683, Rv1684
1910776	1912081	-	2	Rv1685c, Rv1686c
1912979	1914876	+	2	mpg, tyrS
1915527	1923689	+	9	lprJ, Rv1691, Rv1692, Rv1693, tlyA, ppnK, recN, Rv1697, mctB
1923829	1927137	+	3	pyrG, Rv1700, Rv1701
1929131	1931456	-	2	Rv1703c, cycA
1931497	1933878	-	2	PPE22, PPE23
1934882	1941679	+	7	Rv1707, Rv1708, scpA, scpB, Rv1711, cmk, engA
1941853	1946420	+	6	Rv1714, fadB3, Rv1716, Rv1717, Rv1718, Rv1719
1947030	1947643	-	2	vapC12, vapB12
1947861	1950589	+	2	Rv1722, Rv1723
1950632	1951751	-	2	Rv1724c, Rv1725c
1951852	1953839	+	2	Rv1726, Rv1727
1953864	1955569	-	2	Rv1728c, Rv1729c
1961291	1965370	-	4	Rv1735c, Rv1735a, narX, narK2
1967705	1968910	+	3	vapB34, vapC34, Rv1742
1970989	1971991	-	2	Rv1744c, idi
1972138	1976227	+	2	pknF, Rv1747
1977328	1979567	-	2	Rv1749c, fadD1
1994671	1995842	-	2	Rv1761c, Rv1762c
2002626	2006447	+	3	Rv1769, Rv1770, Rv1771
2007832	2009990	+	2	Rv1774, Rv1775
2017740	2023432	+	2	eccB5, eccC5
2025301	2027971	+	3	PPE25, PE18, PPE26
2030694	2031968	+	2	esxN, Rv1794
2032240	2038532	+	4	eccD5, mycP5, eccE5, eccA5
2057528	2058960	+	2	Rv1815, Rv1816
2064799	2068883	+	2	ilvG, secA2
2069080	2072356	+	5	pgsA2, Rv1823, Rv1824, Rv1825, gcvH
2072596	2073824	+	2	garA, Rv1828
2074841	2075828	+	2	Rv1830, Rv1831
2080701	2084636	-	2	Rv1835c, Rv1836c
2087257	2087912	-	2	vapC13, vapB13
2089681	2092085	-	2	Rv1841c, Rv1842c
2092259	2096599	-	4	guaB1, gnd1, blaR, blaI
2097348	2101648	+	6	ureA, ureB, ureC, ureF, ureG, ureD
2103184	2104823	-	2	Rv1855c, Rv1856c
2104985	2107683	+	3	modA, modB, modC
2109165	2110584	+	2	Rv1861, adhA
2110591	2112966	-	3	Rv1863c, Rv1864c, Rv1865c
2119460	2121430	-	2	Rv1869c, Rv1870c
2121495	2123151	-	2	Rv1871c, lldD2
2123684	2124824	+	2	Rv1874, Rv1875
2125340	2130513	+	4	bfrA, Rv1877, glnA3, Rv1879
2132370	2135867	-	5	Rv1882c, Rv1883c, rpfC, Rv1885c, fbpB
2139741	2140704	+	3	Rv1891, Rv1892, Rv1893
2143535	2144882	-	2	Rv1896c, Rv1897c
2145214	2147633	-	2	lppD, lipJ
2151433	2152895	-	2	aao, Rv1906c
2153235	2156592	-	3	Rv1907c, katG, furA
2157382	2159091	-	2	lppC, fadB5
2160463	2162762	+	2	aceAa, aceAb
2174067	2176513	+	2	Rv1922, lipD
2180450	2183239	-	4	Rv1928c, Rv1929c, Rv1930c, Rv1931c
2183866	2187159	-	3	fadE18, fadE17, echA13
2187384	2194434	+	6	Rv1936, Rv1937, ephB, Rv1939, ribA1, Rv1941
2194644	2195934	-	3	mazF5, mazE5, Rv1944c
2199998	2200486	-	2	Rv1950c, Rv1951c
2200726	2201249	+	2	vapB14, vapC14
2202138	2203129	+	2	higA, Rv1957
2203018	2204225	-	3	Rv1958c, parE1, parD1
2204866	2206802	-	3	vapC35, vapB35, mce3R
2207700	2218717	+	12	yrbE3A, yrbE3B, mce3A, mce3B, mce3C, mce3D, lprM, mce3F, Rv1972, Rv1973, Rv1974, Rv1975
2225413	2226101	-	2	vapC36, vapB36
2232739	2233637	-	2	Rv1989c, Rv1990c
2234305	2234891	-	2	mazF6, mazE6
2234991	2237984	-	3	ctpG, Rv1993c, cmtR
2238141	2239957	+	2	Rv1995, Rv1996
2242945	2245138	-	2	Rv1998c, Rv1999c
2245209	2247584	+	2	Rv2000, Rv2001
2249478	2251883	-	2	Rv2004c, Rv2005c
2258030	2258671	+	2	vapB15, vapC15
2263426	2265038	+	2	Rv2016, Rv2017
2265280	2266405	+	2	Rv2018, Rv2019
2266805	2268108	-	3	Rv2021c, Rv2022c, Rv2023c
2271863	2274508	-	2	Rv2026c, dosT
2274569	2278932	-	4	Rv2028c, pfkB, Rv2030c, hspX
2281294	2282740	+	3	Rv2034, Rv2035, Rv2036
2282747	2289599	-	8	Rv2037c, Rv2038c, Rv2039c, Rv2040c, Rv2041c, Rv2042c, pncA, Rv2044c
2291962	2306986	-	2	Rv2047c, pks12
2310913	2313049	-	2	Rv2052c, fxsA
2314087	2315061	-	4	rpsR2, rpsN2, rpmG1, rpmB2
2315174	2316709	+	2	Rv2059, Rv2060
2320831	2324701	+	5	mazE7, mazF7, cobG, cobH, cobIJ
2324647	2326809	-	2	Rv2067c, blaC
2327491	2330146	-	3	cobK, cobM, cobL
2333037	2334594	-	3	Rv2076c, Rv2077c, Rv2077A
2335059	2337869	+	3	Rv2078, Rv2079, lppJ
2338709	2342944	+	3	Rv2082, Rv2083, Rv2084
2343027	2343916	+	2	Rv2085, Rv2086
2348558	2352054	-	2	Rv2091c, helY
2352103	2356677	-	5	tatC, tatA, pafC, pafB, pafA
2364086	2365054	-	3	vapC37, vapB37, Rv2104a
2367359	2368442	+	2	PE22, PPE36
2368983	2370792	-	3	prcA, prcB, pup
2372630	2374457	+	2	Rv2113, Rv2114
2376571	2377441	+	2	lppK, Rv2117
2379245	2380944	-	3	Rv2120c, hisG, hisE
2388616	2390288	+	2	ansP1, Rv2128
2390308	2392459	-	2	Rv2129c, mshC
2393851	2396838	-	4	Rv2133c, Rv2134c, Rv2135c, Rv2136c
2399798	2401722	-	2	TB18.6, Rv2141c
2402193	2402722	-	2	parE2, parD2
2404165	2405398	-	2	Rv2144c, wag31
2406118	2409524	-	4	Rv2147c, Rv2148c, yfiH, ftsZ
2409697	2421665	-	9	ftsQ, murC, murG, ftsW, murD, murX, murF, murE, Rv2159c
2425048	2429858	-	4	pbpB, Rv2164c, Rv2165c, Rv2166c
2432235	2433634	+	2	Rv2170, lppM
2434847	2437459	+	2	idsA2, mptA
2440332	2443214	-	3	aroG, Rv2179c, Rv2180c
2445415	2446946	-	2	Rv2183c, Rv2184c
2451247	2453272	-	2	Rv2189c, Rv2190c
2457553	2461327	+	3	qcrC, qcrA, qcrB
2461504	2463047	-	2	Rv2197c, mmpS3
2463233	2464751	-	2	Rv2199c, ctaC
2468931	2470463	-	2	Rv2204c, Rv2205c
2471411	2473242	+	2	cobT, cobS
2474864	2477181	-	2	ilvE, gcvT
2477190	2479885	+	2	Rv2212, pepB
2481965	2486987	+	5	dlaT, Rv2216, lipB, lipA, Rv2219
2489369	2493742	-	2	glnE, glnA2
2501644	2506383	-	6	Rv2228c, Rv2229c, Rv2230c, cobC, vapC16, vapB16
2506278	2508452	+	3	ptkA, ptpA, Rv2235
2510715	2512280	-	3	ahpE, Rv2239c, Rv2240c
2516787	2522164	+	5	fabD, acpM, kasA, kasB, accD6
2523241	2525354	-	2	glpD1, Rv2250c
2525565	2527918	+	2	Rv2251, Rv2252
2528520	2529174	-	2	Rv2254c, Rv2256a
2530004	2531897	-	2	Rv2257c, Rv2258c
2532245	2533965	+	2	mscR, Rv2260
2541644	2544621	-	3	Rv2267c, cyp128, Rv2269c
2545737	2546431	+	2	Rv2272, Rv2273
2546488	2547087	-	2	mazF8, mazE8
